Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Matt Barnes","BOS",7,13,11.57142859,4,1,0,6,3,1,2,1,0,3,0.36363636,0.46153846,0.72727273,0.48213933904965717,12863
"Total","Tyler Anderson","LAD",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12880
"Total","Archie Bradley","LAA",6,14,0,3,0,0,3,0,0,1,0,0,5,0.23076923,0.28571429,0.23076923,0.23882664952959334,12918
"Total","Andrew Chafin","DET",8,13,4.9090909,2,0,0,2,2,0,1,0,0,3,0.18181818,0.23076923,0.18181818,0.18916007188650277,12988
"Total","Kyle Crick","CHW",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13182
"Total","Jordan Weems","WSN",1,3,27,1,0,0,3,3,1,2,0,0,0,1,1,4,1.1486809253692627,13190
"Total","Michael Fulmer","DET",15,43,2.53125,2,0,1,4,3,0,7,2,1,10,0.05882353,0.23255814,0.11764706,0.1623363916466876,13218
"Total","Louis Head","MIA",2,6,0,2,1,0,0,0,0,0,0,0,2,0.33333333,0.33333333,0.5,0.3575389583905538,13259
"Total","Ross Stripling","TOR",2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13273
"Total","Danny Coulombe","MIN",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8844921588897705,13293
"Total","Luis Cessa","CIN",6,14,8.10000001,3,0,0,5,3,1,3,0,0,1,0.27272727,0.42857143,0.54545455,0.4217945507594517,13345
"Total","Hoby Milner","MIL",8,9,0,0,0,0,2,0,0,1,0,0,3,0,0.11111111,0,0.07667740186055501,13346
"Total","Dylan Floro","MIA",3,6,0,2,0,0,2,0,0,0,0,0,2,0.33333333,0.33333333,0.33333333,0.2948307196299235,13394
"Total","Sam Selman","OAK",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1.2607415914535522,13397
"Total","Matt Koch","SEA",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13420
