Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Luis Garcia","LAA",14,29,7.36363637,6,1,0,7,6,0,3,0,0,7,0.24,0.31034483,0.28,0.2632960019440487,6984
"Total","Ian Kennedy","KCR",29,85,5.22580645,21,3,0,12,12,1,3,1,1,25,0.26923077,0.30487805,0.34615385,0.27744021239104094,6986
"Total","Ryan Pressly","HOU",23,47,7.71428571,9,1,0,11,10,3,3,0,0,15,0.21428571,0.26086957,0.45238095,0.29248244218204333,7005
"Total","Daniel Hudson","2 Tms",27,72,5.71153846,12,2,0,12,11,4,7,1,1,21,0.20338983,0.28169014,0.44067797,0.2895728477409908,7146
"Total","Jonny Venters","2 Tms",5,11,11.57142854,4,0,0,3,3,1,0,0,1,2,0.4,0.45454545,0.7,0.47887034849687055,7175
"Total","Greg Holland","ARI",19,52,6.75,8,2,0,9,9,1,11,1,0,13,0.2,0.36538462,0.325,0.3063499191228081,7196
"Total","Craig Stammen","SDP",42,93,5.01428572,18,2,0,17,13,4,6,2,0,19,0.20930233,0.25806452,0.37209302,0.257010307940808,7274
"Total","Dan Otero","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7385
"Total","Javy Guerra","2 Tms",8,13,11.57142854,3,0,0,3,3,1,2,0,1,3,0.3,0.46153846,0.6,0.44450427477176374,7407
"Total","Jay Jackson","MIL",3,6,10.79999998,2,1,0,2,2,0,0,0,0,1,0.33333333,0.33333333,0.5,0.34771191080411273,7432
"Total","Wade Davis","COL",20,67,8.775,14,1,1,13,13,1,13,0,0,13,0.25925926,0.40298507,0.37037037,0.346637675121649,7441
"Total","Gio Gonzalez","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7448
"Total","Anthony Swarzak","2 Tms",24,50,6.75,8,0,0,9,9,3,9,2,0,13,0.19512195,0.34,0.41463415,0.31247304504116374,7466
"Total","Collin McHugh","HOU",2,4,13.49999993,1,1,0,1,1,0,1,0,0,0,0.33333333,0.5,0.66666667,0.47673967480659485,7531
"Total","Jake McGee","COL",8,14,7.36363636,5,0,0,3,3,2,0,0,0,5,0.35714286,0.35714286,0.78571429,0.4634209999016353,7550
"Total","Nick Vincent","2 Tms",6,15,6.74999999,4,2,0,2,2,1,2,1,1,2,0.33333333,0.46666667,0.75,0.47514158487319946,7555
"Total","Tommy Milone","SEA",9,12,34.71428576,5,1,0,9,9,1,0,0,0,1,0.41666667,0.41666667,0.75,0.48041850825150806,7608
"Total","Neil Ramirez","CLE",1,1,9,1,1,0,1,1,0,0,0,0,0,1,1,2,1.21666419506073,7677
"Total","Juan Nicasio","PHI",15,40,10.8,11,3,0,12,10,2,5,1,0,7,0.32352941,0.41025641,0.58823529,0.40810227394104004,7731
"Total","Wily Peralta","KCR",14,41,10.38461538,11,1,0,10,10,3,5,0,1,7,0.31428571,0.41463415,0.6,0.4217856540912535,7738
"Total","Shawn Kelley","TEX",21,59,5.02325582,14,2,0,8,8,1,5,1,0,17,0.26923077,0.33333333,0.36538462,0.2982093298009464,7773
"Total","Richard Bleier","BAL",15,28,4.5,5,2,0,4,4,0,1,0,0,3,0.2,0.22222222,0.28,0.21231276679922034,7803
"Total","Hunter Strickland","2 Tms",11,23,12.6,5,1,0,7,7,1,2,0,2,4,0.27777778,0.39130435,0.5,0.3732192594072093,7836
"Total","Jerry Blevins","ATL",10,16,4.5,1,0,0,2,2,1,3,0,0,5,0.07692308,0.25,0.30769231,0.2506512254476547,7841
"Total","Cory Gearrin","2 Tms",18,36,9,9,0,0,9,9,1,5,0,1,4,0.3,0.41666667,0.4,0.3629745195309321,7947
"Total","Anthony Bass","SEA",21,47,8.48571428,7,1,0,11,11,2,5,2,0,9,0.17948718,0.26666667,0.35897436,0.24755927851033765,7982
"Total","Marcus Walden","BOS",24,50,7.81578947,11,5,0,11,11,1,4,1,0,16,0.23913043,0.3,0.41304348,0.2947301414548134,8004
"Total","Will Smith","SFG",41,114,1.4673913,17,2,1,5,5,2,9,2,0,44,0.16346154,0.22807018,0.25961538,0.2063282568539892,8048
"Total","Dan Jennings","WSN",2,6,81.00000081,3,0,0,4,3,1,1,0,0,1,0.6,0.66666667,1.2,0.7281741897265116,8073
"Total","Bryan Shaw","COL",23,49,11.7,15,5,1,13,13,2,4,1,2,8,0.34883721,0.42857143,0.65116279,0.4393328092992306,8110
"Total","David Robertson","PHI",4,12,3.375,1,0,0,1,1,0,3,0,0,1,0.11111111,0.33333333,0.11111111,0.24504089852174124,8241
"Total","Tony Sipp","WSN",12,18,18.69230771,4,0,0,9,9,0,0,0,1,3,0.25,0.27777778,0.25,0.2332025004757775,8280
"Total","Buddy Boshers","TOR",6,15,6,4,3,0,2,2,0,1,0,0,5,0.30769231,0.35714286,0.53846154,0.37213531136512756,8490
"Total","Justin Miller","WSN",4,6,10.79999998,2,0,0,2,2,2,0,0,0,2,0.33333333,0.33333333,1.33333333,0.6465120315551758,8580
"Total","Andrew Cashner","BOS",4,19,3.6,3,1,0,2,2,0,3,0,0,5,0.1875,0.31578947,0.25,0.2645664340571353,8782
"Total","Oliver Drake","TBR",16,30,2.07692308,1,0,0,2,2,0,4,0,0,12,0.03846154,0.16666667,0.03846154,0.12102617621421814,8823
"Total","Adam Warren","SDP",7,12,11.57142859,3,1,0,3,3,1,2,0,1,2,0.42857143,0.6,1,0.6125612497329712,9029
"Total","Jeanmar Gomez","TEX",1,3,13.49999993,1,1,0,1,1,0,0,0,0,0,0.5,0.33333333,1,0.40555473168691,9033
"Total","Kirby Yates","SDP",38,118,1.82022472,19,7,0,11,6,1,8,1,3,52,0.18095238,0.25641026,0.27619048,0.23285840297567434,9073
"Total","Brad Hand","CLE",34,93,5.90625,20,5,0,14,14,3,11,5,0,32,0.24691358,0.33695652,0.41975309,0.3043561324305918,9111
"Total","Nathan Eovaldi","BOS",2,6,5.39999999,1,1,0,1,1,0,0,0,0,3,0.16666667,0.16666667,0.33333333,0.202777365843455,9132
"Total","Alex Wilson","MIL",3,11,0,2,0,0,0,0,0,3,1,0,3,0.25,0.45454545,0.25,0.3119803547859192,9239
"Total","Jared Hughes","2 Tms",21,36,8.3076923,11,2,0,12,8,4,3,0,0,5,0.36666667,0.42424242,0.83333333,0.5033452312151591,9325
"Total","Josh Tomlin","ATL",11,28,2.45454546,6,0,1,2,2,0,2,0,0,5,0.24,0.28571429,0.32,0.2592014563935144,9388
"Total","Zac Rosscup","2 Tms",10,14,0,2,0,0,1,0,0,4,0,0,4,0.2,0.42857143,0.2,0.3214566111564636,9419
"Total","Ryan Buchter","OAK",17,21,4.5,4,1,0,2,2,1,5,0,0,5,0.26666667,0.42857143,0.53333333,0.3974708261943999,9456
"Total","Jeremy Jeffress","MIL",19,44,13.96551724,15,2,0,17,15,2,2,0,2,8,0.375,0.43181818,0.575,0.4249341230500828,9490
"Total","Brian Moran","MIA",4,6,0,1,0,1,0,0,0,1,1,0,2,0.2,0.33333333,0.6,0.30580308437347414,9646
"Total","David Hale","NYY",2,7,0,1,0,0,0,0,0,1,0,0,0,0.16666667,0.28571429,0.16666667,0.22284311056137085,9756
"Total","Joe Kelly","LAD",16,34,11.73913043,7,1,0,11,10,0,5,2,0,7,0.24137931,0.35294118,0.27586207,0.2657872289419174,9761
"Total","Sergio Romo","2 Tms",29,72,3.375,14,1,1,10,7,2,4,2,0,20,0.21538462,0.25,0.35384615,0.23859162160328456,9817
"Total","Chaz Roe","TBR",33,53,5.4,11,3,0,10,8,0,5,1,0,14,0.23404255,0.30188679,0.29787234,0.2570774761530069,9866
"Total","Brandon Kintzler","CHC",20,42,4.21875,7,1,0,6,5,0,6,2,1,7,0.2,0.33333333,0.22857143,0.2478675439953804,9939
"Total","Mike Dunn","COL",7,9,12,1,0,0,4,4,1,0,0,0,4,0.14285714,0.11111111,0.57142857,0.21550401051839194,9948
"Total","Kyle Gibson","MIN",4,7,4.5,1,0,0,1,1,1,0,0,0,3,0.14285714,0.14285714,0.57142857,0.2770765849522182,10123
"Total","Brad Boxberger","KCR",9,20,17.18181817,8,2,1,7,7,1,1,0,0,3,0.42105263,0.45,0.78947368,0.5035301744937897,10133
"Total","Ryan Weber","BOS",2,5,9,1,0,0,1,1,0,1,0,0,0,0.25,0.4,0.25,0.3119803547859192,10160
"Total","Shelby Miller","TEX",2,7,0,2,0,0,1,0,0,0,0,0,1,0.28571429,0.28571429,0.28571429,0.24845921993255615,10197
