"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Enyel De Los Santos","CLE","11.47","4.07","2.82","0.74","30.4%","10.8%","19.6%",".200","1.19",".281","73.5%","96","78","80","3.70","3.12","0.58","3.21","3.12","18403"
"Shaun Anderson","TOR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".571","4.00",".571","50.0%","452","77","194","18.00","3.12","14.88","7.59","5.91","19453"
"Sheldon Neuse","OAK","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","79","194","0.00","3.12","-3.12","7.59","13.13","19635"
"Griffin Jax","MIN","10.61","2.65","4.00","0.96","29.9%","7.5%","22.4%",".200","1.02",".264","80.8%","69","77","76","2.65","3.12","-0.46","3.08","2.74","20253"
"Anthony Kay","TOR","13.50","4.50","3.00","0.00","30.0%","10.0%","20.0%",".250","1.50",".400","75.0%","113","77","96","4.50","3.12","1.38","3.86","3.08","20387"
"Anderson Severino","CHW","11.05","4.91","2.25","0.00","26.5%","11.8%","14.7%",".250","1.50",".368","61.5%","161","75","104","6.14","3.12","3.02","4.13","3.40","20582"
"Shane Baz","TBR","10.22","3.28","3.11","0.73","27.7%","8.9%","18.8%",".209","1.14",".279","80.2%","80","81","83","2.92","3.12","-0.20","3.33","3.49","22264"
"Angel De Jesus","DET","13.50","9.00","1.50","0.00","33.3%","22.2%","11.1%",".143","1.50",".250","100.0%","0","77","116","0.00","3.12","-3.12","4.61","4.63","22323"
"Justus Sheffield","SEA","4.05","2.70","1.50","0.00","13.0%","8.7%","4.3%",".095","0.60",".111","100.0%","0","79","100","0.00","3.12","-3.12","4.01","4.11","17285"
"Luis Patino","TBR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.50",".333","0.0%","372","81","135","13.50","3.12","10.38","5.35","6.02","22815"
"Alex Cobb","SFG","9.88","2.65","3.73","0.88","25.6%","6.8%","18.7%",".271","1.37",".352","57.8%","114","83","69","4.59","3.14","1.45","2.74","3.01","6562"
"Wil Crowe","PIT","9.47","4.23","2.24","0.40","25.1%","11.2%","13.9%",".189","1.16",".252","68.4%","83","79","98","3.43","3.14","0.29","3.93","3.71","19800"
"Sonny Gray","MIN","8.89","2.30","3.86","0.82","24.7%","6.4%","18.3%",".211","1.04",".262","82.4%","64","78","87","2.47","3.15","-0.68","3.49","3.56","12768"
"Corbin Burnes","MIL","11.23","2.27","4.96","1.09","31.8%","6.4%","25.4%",".184","0.92",".243","85.0%","56","79","74","2.36","3.16","-0.80","2.92","2.83","19361"
"Connor Overton","CIN","3.65","2.55","1.43","0.00","11.2%","7.9%","3.4%",".183","0.89",".208","77.3%","41","76","117","1.82","3.16","-1.33","4.73","5.35","18376"
"Kyle Crick","CHW","10.91","6.32","1.73","0.00","28.8%","16.7%","12.1%",".189","1.34",".294","69.6%","106","77","104","4.02","3.18","0.84","4.13","4.15","13182"
"Hirokazu Sawamura","BOS","7.36","2.45","3.00","0.61","20.3%","6.8%","13.6%",".218","1.09",".262","75.3%","61","80","89","2.45","3.18","-0.73","3.57","3.54","27515"
"Wandy Peralta","NYY","6.75","3.07","2.20","0.31","19.0%","8.6%","10.3%",".181","0.99",".220","80.4%","56","77","102","2.15","3.18","-1.04","4.06","3.86","14295"
"Raisel Iglesias","LAA","13.34","1.59","8.40","1.59","38.5%","4.6%","33.9%",".176","0.81",".236","66.7%","91","77","56","3.49","3.19","0.31","2.31","1.70","17130"
"Joely Rodriguez","NYM","11.16","5.76","1.94","0.36","29.0%","15.0%","14.0%",".200","1.36",".293","59.5%","120","82","92","4.68","3.20","1.48","3.69","3.80","11487"
"Patrick Sandoval","LAA","9.51","4.11","2.31","0.51","23.8%","10.3%","13.5%",".242","1.41",".317","77.6%","80","78","98","3.09","3.20","-0.12","3.91","4.09","19447"
"Jose Alvarado","PHI","12.88","6.65","1.94","0.42","30.4%","15.7%","14.7%",".259","1.75",".396","66.5%","128","79","84","5.40","3.21","2.19","3.37","3.62","17780"
"Ross Stripling","TOR","7.07","1.88","3.77","0.72","19.4%","5.1%","14.2%",".238","1.12",".280","71.4%","83","80","92","3.32","3.21","0.11","3.70","3.83","13273"
"Logan Gillaspie","BAL","3.48","1.74","2.00","0.00","8.3%","4.2%","4.2%",".333","1.65",".366","66.7%","112","75","129","4.35","3.21","1.14","5.09","5.04","22461"
"Nick Nelson","PHI","8.31","4.38","1.89","0.23","21.6%","11.4%","10.2%",".219","1.31",".284","64.0%","104","79","112","4.38","3.22","1.17","4.53","4.24","20153"
"Josh Staumont","KCR","11.08","5.88","1.88","0.35","27.6%","14.7%","12.9%",".214","1.46",".308","71.8%","97","81","115","3.81","3.23","0.58","4.57","4.11","18335"
"Cionel Perez","BAL","8.28","3.96","2.09","0.36","21.9%","10.5%","11.4%",".258","1.40",".333","92.5%","28","75","98","1.08","3.24","-2.16","3.91","3.82","19614"
"A.J. Puk","OAK","9.27","1.91","4.86","0.82","25.0%","5.1%","19.9%",".224","1.06",".284","77.6%","74","82","79","2.73","3.24","-0.51","3.19","2.91","19343"
"Dany Jimenez","OAK","8.39","4.38","1.92","0.36","21.7%","11.3%","10.4%",".202","1.26",".257","57.4%","119","82","112","4.38","3.24","1.14","4.46","4.15","21170"
"Luis Castillo","CIN","9.28","3.09","3.00","0.70","24.7%","8.2%","16.5%",".211","1.14",".269","73.9%","70","78","87","3.09","3.24","-0.15","3.46","3.67","15689"
"Tanner Scott","MIA","13.78","5.06","2.72","0.84","35.0%","12.9%","22.1%",".193","1.28",".299","67.8%","106","84","77","4.22","3.24","0.98","3.05","2.95","17586"
"Jameson Taillon","NYY","7.39","1.18","6.27","0.86","19.8%","3.2%","16.7%",".258","1.15",".305","78.0%","87","79","92","3.32","3.25","0.07","3.68","3.79","11674"
"Jimmy Herget","LAA","8.42","1.49","5.67","0.99","23.6%","4.2%","19.4%",".219","0.99",".263","66.9%","96","79","78","3.72","3.25","0.46","3.14","3.07","17556"
"Caleb Thielbar","MIN","11.62","4.08","2.85","0.94","29.8%","10.5%","19.4%",".243","1.40",".338","61.5%","147","81","91","5.65","3.26","2.40","3.66","3.20","10078"
"Drew Carlton","DET","8.10","0.00","6.00","1.35","23.1%","0.0%","23.1%",".154","0.60",".158","0.0%","70","81","65","2.70","3.27","-0.57","2.66","2.42","19868"
"David Price","LAD","10.98","1.83","6.00","1.37","28.9%","4.8%","24.1%",".278","1.32",".365","87.2%","79","82","69","3.20","3.27","-0.06","2.73","2.56","3184"
"Wade Miley","CHC","5.68","3.79","1.50","0.00","15.2%","10.1%","5.1%",".214","1.21",".259","75.0%","67","82","112","2.84","3.27","-0.43","4.53","4.83","8779"
"David Robertson","CHC","11.78","4.02","2.93","0.86","32.8%","11.2%","21.6%",".138","0.93",".185","93.3%","41","82","80","1.72","3.28","-1.55","3.17","2.89","8241"
"Adam Ottavino","NYM","10.38","2.97","3.50","0.89","28.5%","8.1%","20.3%",".198","1.05",".260","83.9%","68","84","83","2.67","3.28","-0.61","3.32","2.96","1247"
"Andres Munoz","SEA","13.50","2.40","5.63","1.50","37.8%","6.7%","31.1%",".239","1.13",".356","75.9%","98","83","52","3.60","3.28","0.32","2.16","1.91","20373"
"Darren O'Day","ATL","11.21","3.57","3.14","1.02","28.9%","9.2%","19.7%",".246","1.36",".333","61.3%","107","83","94","4.58","3.29","1.30","3.76","3.15","3321"
"Cole Sulser","MIA","10.03","3.86","2.60","0.77","27.4%","10.5%","16.8%",".235","1.29",".316","62.5%","97","85","85","3.86","3.29","0.57","3.39","3.40","15256"
"Ryan Pressly","HOU","9.00","3.13","2.88","0.78","25.6%","8.9%","16.7%",".220","1.13",".281","69.0%","94","82","83","3.52","3.29","0.23","3.33","3.36","7005"
"Tony Gonsolin","LAD","8.49","2.53","3.35","0.77","24.9%","7.4%","17.5%",".155","0.82",".186","91.4%","38","83","94","1.54","3.30","-1.76","3.77","3.69","19388"
"Frankie Montas","OAK","9.31","2.23","4.17","1.02","25.8%","6.2%","19.6%",".224","1.09",".279","71.7%","88","84","78","3.26","3.30","-0.04","3.15","3.34","14309"
"Angel Rondon","STL","7.20","5.40","1.33","0.00","20.0%","15.0%","5.0%",".059","0.80",".077","100.0%","0","86","140","0.00","3.32","-3.32","5.70","5.37","22036"
"Max Kranick","PIT","7.20","5.40","1.33","0.00","21.1%","15.8%","5.3%",".188","1.20",".250","100.0%","0","83","126","0.00","3.32","-3.32","5.11","5.11","22175"
"Juan Minaya","MIN","10.24","4.66","2.20","0.00","24.4%","11.1%","13.3%",".216","1.34",".308","62.5%","145","82","111","5.59","3.32","2.26","4.40","3.67","10341"
"Framber Valdez","HOU","8.29","3.39","2.45","0.53","22.6%","9.2%","13.4%",".207","1.13",".260","77.8%","71","83","78","2.67","3.32","-0.65","3.14","3.33","17295"
"Tyler Anderson","LAD","7.79","1.60","4.87","0.85","21.5%","4.4%","17.1%",".232","1.06",".277","77.3%","76","83","99","3.09","3.33","-0.23","3.97","3.78","12880"
"Jordan Romano","TOR","9.96","4.18","2.38","0.64","26.3%","11.0%","15.3%",".221","1.29",".296","78.9%","73","83","96","2.89","3.33","-0.44","3.84","3.60","16122"
"Gregory Soto","DET","9.32","3.86","2.42","0.32","25.2%","10.4%","14.8%",".194","1.11",".265","72.3%","67","83","115","2.57","3.33","-0.76","4.57","3.68","19677"
"Archie Bradley","LAA","7.23","3.38","2.14","0.48","19.2%","9.0%","10.3%",".239","1.29",".291","48.7%","125","81","96","4.82","3.33","1.49","3.83","3.75","12918"
"Jeffrey Springs","TBR","9.75","1.95","5.00","1.20","27.8%","5.6%","22.2%",".213","1.00",".264","92.2%","62","86","77","2.25","3.33","-1.08","3.12","3.10","17677"
"Tyler Rogers","SFG","5.50","2.50","2.20","0.25","14.3%","6.5%","7.8%",".270","1.33",".314","64.5%","111","88","105","4.50","3.34","1.16","4.22","3.95","15541"
"Aaron Bummer","CHW","10.70","4.58","2.33","0.51","26.3%","11.3%","15.0%",".275","1.58",".383","73.4%","80","81","79","3.06","3.34","-0.29","3.20","3.19","16258"
"Adam Cimber","TOR","6.95","1.60","4.33","0.80","19.5%","4.5%","15.0%",".230","1.04",".268","66.0%","87","84","93","3.48","3.35","0.12","3.75","3.58","15288"
"Mike Clevinger","SDP","9.62","3.10","3.10","0.93","25.6%","8.3%","17.4%",".198","1.10",".247","79.1%","70","85","89","2.79","3.36","-0.56","3.56","3.65","12808"
"Nestor Cortes","NYY","9.64","2.01","4.79","1.16","27.4%","5.7%","21.7%",".199","0.95",".243","87.1%","64","82","89","2.44","3.36","-0.93","3.56","3.33","17874"
"Yu Darvish","SDP","8.11","1.72","4.72","0.86","22.4%","4.7%","17.7%",".218","1.01",".263","73.0%","88","86","97","3.53","3.38","0.15","3.91","3.71","13074"
"Justin Verlander","HOU","8.32","1.57","5.29","1.02","24.2%","4.6%","19.6%",".182","0.83",".212","80.5%","54","85","89","2.03","3.38","-1.35","3.57","3.48","8700"
"Seth Martinez","HOU","7.71","3.38","2.29","0.48","22.2%","9.7%","12.5%",".125","0.80",".149","89.0%","26","85","118","0.96","3.38","-2.42","4.69","4.07","21045"
"Braxton Garrett","MIA","8.87","2.42","3.67","0.81","21.0%","5.7%","15.2%",".330","1.70",".411","67.2%","131","87","92","5.24","3.38","1.85","3.69","3.82","21844"
"Merrill Kelly","ARI","7.32","3.07","2.39","0.59","19.6%","8.2%","11.4%",".243","1.26",".294","73.4%","81","86","101","3.46","3.40","0.06","4.05","4.29","11156"
"Luke Weaver","ARI","9.58","3.48","2.75","0.87","19.6%","7.1%","12.5%",".404","2.42",".500","50.8%","266","87","86","11.32","3.41","7.92","3.45","3.82","16918"
"Yimi Garcia","TOR","8.89","1.71","5.20","1.03","24.8%","4.8%","20.0%",".214","0.99",".261","71.4%","86","85","92","3.42","3.42","0.00","3.69","3.06","12095"
"Gerrit Cole","NYY","11.28","2.51","4.50","1.35","31.5%","7.0%","24.5%",".197","1.01",".252","84.9%","78","84","71","2.99","3.43","-0.44","2.90","2.92","13125"
"Jackson Stephens","ATL","8.42","3.16","2.67","0.70","21.8%","8.2%","13.6%",".220","1.21",".270","58.2%","74","87","89","3.16","3.43","-0.27","3.58","3.50","14420"
"Jake Odorizzi","HOU","5.97","3.41","1.75","0.28","16.4%","9.4%","7.0%",".217","1.17",".258","62.8%","84","86","124","3.13","3.43","-0.31","4.91","5.02","6397"
"Jon Gray","TEX","9.66","3.03","3.19","0.93","26.2%","8.2%","18.0%",".222","1.16",".284","70.9%","104","86","85","3.96","3.44","0.52","3.43","3.58","14916"
"Garrett Whitlock","BOS","9.06","2.03","4.45","1.11","24.6%","5.5%","19.1%",".235","1.13",".288","73.5%","88","87","87","3.51","3.44","0.07","3.50","3.42","20191"
"Logan Gilbert","SEA","8.75","2.47","3.54","0.95","24.0%","6.8%","17.2%",".225","1.12",".277","82.1%","73","88","92","2.66","3.46","-0.80","3.70","3.74","22250"
"Lucas Gilbreath","COL","10.07","5.24","1.92","0.40","25.5%","13.3%","12.2%",".241","1.48",".333","71.4%","85","83","98","4.03","3.47","0.56","3.96","3.87","21290"
"Paul Blackburn","OAK","6.93","2.28","3.05","0.72","18.8%","6.2%","12.6%",".239","1.16",".280","80.7%","79","89","92","2.90","3.48","-0.59","3.67","3.99","14739"
"MacKenzie Gore","SDP","9.42","4.43","2.13","0.55","24.4%","11.5%","12.9%",".230","1.35",".304","79.9%","79","88","105","3.18","3.48","-0.30","4.22","4.24","22201"
"Miles Mikolas","STL","7.11","1.89","3.76","0.81","19.8%","5.3%","14.6%",".210","0.99",".243","77.7%","65","90","96","2.61","3.49","-0.88","3.87","3.96","9803"
"Dylan Lee","ATL","7.31","1.13","6.50","1.13","21.0%","3.2%","17.7%",".200","0.88",".222","98.2%","26","88","95","1.13","3.49","-2.37","3.82","3.38","19996"
"Will Vest","DET","9.93","3.41","2.91","0.93","27.1%","9.3%","17.8%",".208","1.14",".268","77.2%","89","87","83","3.41","3.50","-0.08","3.33","3.20","19769"
"Julian Merryweather","TOR","8.35","1.47","5.67","0.98","20.5%","3.6%","16.9%",".295","1.42",".356","59.5%","160","87","95","6.38","3.50","2.88","3.79","3.23","16703"
"Justin Steele","CHC","8.66","4.13","2.09","0.65","21.8%","10.4%","11.4%",".257","1.48",".324","66.7%","104","88","93","4.39","3.50","0.89","3.75","4.16","17312"
"Brusdar Graterol","LAD","8.00","2.50","3.20","0.75","21.8%","6.8%","15.0%",".209","1.06",".253","67.9%","92","88","90","3.75","3.50","0.25","3.62","3.19","20367"
"Yency Almonte","LAD","9.30","3.10","3.00","0.89","25.9%","8.6%","17.3%",".192","1.03",".240","93.8%","44","88","87","1.77","3.51","-1.74","3.48","3.28","15068"
"Michael Rucker","CHC","9.61","3.66","2.63","0.92","24.4%","9.3%","15.1%",".269","1.47",".345","61.1%","130","88","93","5.49","3.52","1.97","3.72","3.48","19454"
"Trevor Gott","MIL","9.38","1.88","5.00","1.13","25.0%","5.0%","20.0%",".226","1.08",".277","58.8%","97","88","93","4.13","3.53","0.59","3.71","3.09","15046"
"Pablo Lopez","MIA","8.90","2.59","3.44","0.96","24.6%","7.1%","17.5%",".214","1.07",".263","78.3%","74","91","87","2.97","3.54","-0.57","3.49","3.60","17085"
"Seth Lugo","NYM","8.90","2.08","4.29","1.19","24.2%","5.6%","18.5%",".231","1.12",".277","77.5%","91","91","88","3.56","3.54","0.02","3.50","3.19","12447"
"Nick Vespi","BAL","7.71","3.09","2.50","0.77","21.3%","8.5%","12.8%",".256","1.29",".313","58.8%","138","83","92","5.40","3.54","1.86","3.71","3.80","21093"
"Tyler Mahle","CIN","9.94","3.51","2.83","0.97","25.8%","9.1%","16.7%",".235","1.30",".302","68.5%","102","85","101","4.48","3.55","0.93","4.05","3.86","16358"
"Adam Wainwright","STL","7.54","2.51","3.00","0.84","20.3%","6.8%","13.5%",".259","1.27",".311","79.2%","81","92","92","3.26","3.55","-0.29","3.70","3.98","2233"
"Daniel Bard","COL","11.15","4.40","2.53","0.88","30.4%","12.0%","18.4%",".148","1.01",".194","83.3%","43","85","84","2.05","3.57","-1.52","3.37","3.19","7115"
"Jose Quintana","PIT","7.93","2.96","2.68","0.83","20.9%","7.8%","13.1%",".247","1.29",".299","75.1%","83","90","96","3.43","3.58","-0.14","3.87","4.13","11423"
"Alex Wood","SFG","8.71","2.45","3.55","0.98","22.5%","6.3%","16.2%",".275","1.36",".340","66.8%","125","94","84","5.03","3.58","1.45","3.36","3.58","13781"
"Packy Naughton","STL","7.94","2.12","3.75","1.06","21.1%","5.6%","15.5%",".269","1.29",".320","67.7%","119","92","82","4.76","3.59","1.18","3.29","3.29","23292"
"Garrett Richards","TEX","7.57","3.29","2.30","0.66","20.9%","9.1%","11.8%",".202","1.10",".243","67.4%","87","90","99","3.29","3.59","-0.30","3.95","3.74","9784"
"Tim Mayza","TOR","8.57","3.43","2.50","0.86","22.5%","9.0%","13.5%",".284","1.48",".356","81.6%","75","90","68","3.00","3.59","-0.59","2.78","3.07","15042"
"Tylor Megill","NYM","10.23","2.40","4.27","1.31","27.0%","6.3%","20.7%",".241","1.21",".303","65.7%","128","92","77","5.01","3.60","1.41","3.05","3.27","21318"
"Corey Kluber","TBR","7.93","1.54","5.15","1.07","21.3%","4.1%","17.2%",".253","1.16",".300","72.1%","108","94","99","3.91","3.60","0.31","3.95","3.79","2429"
"Harold Castro","DET","4.50","4.50","1.00","0.00","12.5%","12.5%","0.0%",".429","2.00",".500","75.0%","117","90","149","4.50","3.62","0.88","5.85","6.11","14691"
"Cristofer Ogando","TBR","4.50","4.50","1.00","0.00","12.5%","12.5%","0.0%",".143","1.00",".167","50.0%","124","94","129","4.50","3.62","0.88","5.11","5.53","20667"
"Amir Garrett","KCR","9.90","7.20","1.38","0.00","25.3%","18.4%","6.9%",".159","1.35",".234","55.2%","150","92","127","5.85","3.62","2.23","5.03","4.84","14375"
"Dominic Leone","SFG","9.82","2.76","3.56","1.23","25.6%","7.2%","18.4%",".267","1.36",".338","90.1%","61","95","82","2.45","3.63","-1.17","3.28","3.16","13763"
"James Norwood","PHI","11.42","4.67","2.44","1.04","25.9%","10.6%","15.3%",".316","1.90",".423","53.0%","196","88","94","8.31","3.63","4.67","3.77","3.60","16440"
"Logan Allen","- - -","8.22","5.87","1.40","0.00","17.5%","12.5%","5.0%",".353","2.22",".444","72.2%","152","89","141","5.87","3.64","2.23","5.58","4.81","18555"
"Scott Barlow","KCR","9.00","2.75","3.27","1.00","25.0%","7.6%","17.4%",".198","1.03",".242","86.8%","58","92","91","2.25","3.64","-1.39","3.65","3.28","14993"
"Luis Severino","NYY","10.50","2.65","3.96","1.27","28.9%","7.3%","21.6%",".205","1.05",".258","79.3%","88","90","84","3.35","3.65","-0.31","3.37","3.24","15890"
"Chris Stratton","PIT","8.64","2.43","3.56","1.08","21.9%","6.2%","15.8%",".287","1.44",".350","62.2%","124","92","90","5.13","3.66","1.47","3.62","3.42","13761"
"Austin Davis","BOS","9.82","4.60","2.13","0.61","25.4%","11.9%","13.5%",".213","1.30",".284","86.4%","61","92","115","2.45","3.66","-1.21","4.56","3.95","17117"
"Tommy Milone","SEA","4.00","0.00","4.00","1.00","12.5%","0.0%","12.5%",".156","0.56",".148","83.3%","55","94","119","2.00","3.67","-1.67","4.71","4.84","7608"
"Michael Kopech","CHW","8.34","4.10","2.03","0.66","23.2%","11.4%","11.8%",".163","1.03",".199","73.8%","73","89","120","2.78","3.67","-0.90","4.76","4.58","17282"
"Nick Pivetta","BOS","8.65","3.04","2.84","0.95","23.6%","8.3%","15.3%",".211","1.12",".257","78.9%","81","93","102","3.23","3.68","-0.44","4.07","3.99","15454"
"Joe Ryan","MIN","8.18","2.45","3.33","0.95","22.5%","6.7%","15.7%",".208","1.05",".247","80.7%","78","91","115","3.00","3.68","-0.68","4.58","4.21","21390"
"Carlos Carrasco","NYM","9.17","2.27","4.05","1.13","23.9%","5.9%","18.0%",".272","1.33",".339","72.2%","119","94","88","4.64","3.68","0.96","3.53","3.56","6632"
"Jeff Hoffman","CIN","9.49","4.62","2.05","0.73","24.5%","11.9%","12.6%",".223","1.35",".289","74.8%","77","88","117","3.41","3.68","-0.28","4.73","4.09","17432"
"Jalen Beeks","TBR","11.07","2.97","3.73","1.35","30.8%","8.3%","22.6%",".207","1.08",".267","90.0%","74","96","77","2.70","3.69","-0.99","3.12","2.82","17192"
"Reyes Moronta","LAD","9.64","1.93","5.00","1.29","27.3%","5.5%","21.8%",".216","1.00",".265","90.2%","63","92","96","2.57","3.69","-1.12","3.85","3.01","14966"
"Ryan Brasier","BOS","9.20","1.48","6.20","1.48","24.8%","4.0%","20.8%",".258","1.19",".310","72.4%","104","94","85","4.15","3.71","0.44","3.44","3.00","5615"
"Blake Snell","SDP","11.16","5.13","2.17","0.89","27.9%","12.8%","15.1%",".232","1.46",".317","64.3%","128","94","101","5.13","3.71","1.42","4.05","4.04","13543"
"Sam Selman","OAK","11.70","1.80","6.50","1.80","34.2%","5.3%","28.9%",".222","1.00",".286","83.3%","98","95","72","3.60","3.72","-0.12","2.91","2.18","13397"
"Konnor Pilkington","CLE","9.19","5.17","1.78","0.57","22.1%","12.4%","9.7%",".278","1.69",".359","72.3%","112","94","117","4.31","3.72","0.59","4.65","4.61","21453"
"Taylor Clarke","KCR","8.13","1.31","6.20","1.31","21.4%","3.4%","17.9%",".273","1.25",".320","64.9%","114","95","97","4.46","3.73","0.73","3.88","3.37","17611"
"Jesus Luzardo","MIA","12.72","4.97","2.56","1.24","34.5%","13.4%","21.0%",".175","1.17",".241","70.4%","101","96","80","4.03","3.74","0.30","3.18","3.45","19959"
"Matt Manning","DET","4.50","0.00","4.00","1.13","13.8%","0.0%","13.8%",".207","0.75",".208","87.0%","59","93","85","2.25","3.74","-1.49","3.42","3.77","20369"
"Wily Peralta","DET","7.88","5.63","1.40","0.28","20.3%","14.5%","5.8%",".222","1.44",".284","83.3%","59","93","118","2.25","3.74","-1.49","4.69","4.73","7738"
"Jake Cousins","MIL","14.63","5.63","2.60","1.13","34.2%","13.2%","21.1%",".250","1.63",".389","79.4%","106","93","86","4.50","3.74","0.76","3.42","3.04","21620"
"Noah Syndergaard","LAA","6.47","2.20","2.94","0.83","17.3%","5.9%","11.4%",".241","1.18",".275","69.8%","100","91","106","3.86","3.74","0.11","4.22","4.29","11762"
"Tommy Nance","MIA","13.26","5.21","2.55","0.95","31.5%","12.4%","19.1%",".293","1.74",".444","69.3%","154","96","81","6.16","3.75","2.41","3.24","3.14","19178"
"Jordan Montgomery","NYY","7.17","1.69","4.24","1.00","19.8%","4.7%","15.1%",".224","1.03",".256","79.1%","84","92","91","3.19","3.76","-0.57","3.66","3.78","16511"
"Jakob Junis","SFG","7.50","1.88","4.00","1.13","21.4%","5.3%","16.0%",".205","0.96",".231","85.5%","65","98","90","2.63","3.76","-1.14","3.60","3.65","13619"
"Daulton Jefferies","OAK","6.41","1.83","3.50","0.92","16.3%","4.7%","11.6%",".284","1.37",".323","59.5%","155","97","109","5.72","3.78","1.94","4.35","4.31","19345"
"Anthony Banda","PIT","10.07","2.29","4.40","1.37","22.4%","5.1%","17.3%",".370","1.98",".463","72.6%","155","94","103","6.41","3.78","2.63","4.15","3.48","14706"
"Sam Moll","OAK","12.31","6.35","1.94","0.79","30.7%","15.8%","14.9%",".202","1.46",".294","83.3%","65","97","90","2.38","3.78","-1.40","3.62","3.76","14874"
"Miguel Castro","NYY","9.47","4.21","2.25","0.70","24.3%","10.8%","13.5%",".229","1.32",".299","76.0%","92","93","101","3.51","3.78","-0.27","4.04","3.73","15684"
"David Peterson","NYM","9.26","3.39","2.73","0.93","24.7%","9.1%","15.6%",".222","1.20",".280","75.1%","83","97","88","3.24","3.78","-0.54","3.52","3.60","20302"
"Gabe Speier","KCR","6.52","2.33","2.80","0.93","18.2%","6.5%","11.7%",".222","1.09",".250","87.9%","59","96","106","2.33","3.79","-1.46","4.22","4.00","17170"
"Sean Manaea","SDP","9.42","3.28","2.87","1.16","25.8%","9.0%","16.8%",".210","1.14",".257","71.1%","98","96","94","3.92","3.80","0.12","3.77","3.79","15873"
"Brad Boxberger","MIL","7.92","3.23","2.45","0.88","22.7%","9.2%","13.4%",".178","0.98",".208","89.6%","49","94","104","2.05","3.80","-1.75","4.18","3.82","10133"
"Joe Kelly","CHW","12.34","6.94","1.78","0.77","27.6%","15.5%","12.1%",".306","2.06",".438","61.9%","203","92","89","7.71","3.80","3.91","3.58","3.73","9761"
"Keegan Thompson","CHC","8.33","3.03","2.75","0.88","22.4%","8.2%","14.3%",".242","1.23",".298","77.2%","81","95","103","3.41","3.80","-0.40","4.14","3.90","19795"
"Walker Buehler","LAD","8.03","2.35","3.41","1.11","21.2%","6.2%","15.0%",".263","1.29",".312","74.9%","99","95","91","4.02","3.81","0.21","3.65","3.82","19374"
"Luis Gonzalez","SFG","0.00","2.08","0.00","0.00","0.0%","5.0%","-5.0%",".263","1.38",".263","50.0%","154","100","136","6.23","3.81","2.42","5.53","5.08","20332"
"Joel Kuhnel","CIN","10.13","2.53","4.00","1.27","25.8%","6.5%","19.4%",".282","1.41",".362","54.0%","163","92","87","7.17","3.82","3.35","3.46","3.02","19995"
"Zac Gallen","ARI","8.45","2.52","3.35","0.99","22.8%","6.8%","16.0%",".207","1.05",".247","74.0%","80","97","97","3.40","3.84","-0.43","3.88","3.78","19291"
"Zach Eflin","PHI","7.41","1.99","3.73","1.06","19.6%","5.3%","14.4%",".248","1.19",".287","66.4%","103","93","100","4.37","3.84","0.53","4.02","4.01","13774"
"Nick Wittgren","STL","5.28","3.10","1.70","0.31","12.7%","7.5%","5.2%",".292","1.55",".333","63.0%","147","99","127","5.90","3.84","2.06","5.14","4.73","15594"
"Richard Bleier","MIA","5.59","1.86","3.00","0.93","13.3%","4.4%","8.9%",".337","1.71",".375","69.5%","140","98","97","5.59","3.84","1.75","3.88","3.96","7803"
"Jake Woodford","STL","4.79","3.48","1.38","0.44","13.3%","9.6%","3.6%",".240","1.26",".270","73.2%","76","99","120","3.05","3.84","-0.79","4.87","4.90","18674"
"Lance Lynn","CHW","9.00","2.05","4.40","1.23","22.9%","5.2%","17.7%",".258","1.27",".313","62.0%","118","93","92","4.50","3.84","0.66","3.70","3.63","2520"
"Mitch White","LAD","8.65","2.88","3.00","1.05","22.8%","7.6%","15.2%",".227","1.19",".274","72.2%","97","96","98","3.93","3.84","0.09","3.94","3.84","19225"
"Danny Coulombe","MIN","6.57","6.57","1.00","0.00","17.0%","17.0%","0.0%",".159","1.30",".200","81.3%","38","96","140","1.46","3.85","-2.39","5.54","5.64","13293"
"Cody Poteet","MIA","6.92","3.81","1.82","0.69","19.8%","10.9%","8.9%",".178","1.04",".206","82.6%","61","99","99","2.42","3.85","-1.42","3.99","4.13","18769"
"Drew Rasmussen","TBR","7.32","2.59","2.83","1.01","19.8%","7.0%","12.8%",".231","1.16",".267","73.2%","91","101","92","3.30","3.85","-0.55","3.68","4.02","25385"
"Charlie Morton","ATL","10.45","3.21","3.26","1.14","27.3%","8.4%","18.9%",".234","1.24",".304","73.1%","102","97","91","4.34","3.85","0.49","3.65","3.54","4676"
"Dillon Peters","PIT","7.36","5.61","1.31","0.35","20.2%","15.4%","4.8%",".159","1.17",".197","66.4%","93","96","119","3.86","3.86","0.00","4.80","5.06","18790"
"Mark Leiter","CHC","9.40","3.94","2.38","0.91","24.8%","10.4%","14.4%",".218","1.25",".276","66.1%","115","96","95","4.85","3.86","1.00","3.80","3.67","15551"
