"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Jose Urquidy","HOU","7.06","2.13","3.32","1.68","18.2%","5.5%","12.7%",".270","1.33",".294","79.5%","111","121","112","4.15","4.76","-0.61","4.47","4.35","18413"
"Drew Hutchison","DET","6.29","5.92","1.06","0.74","15.5%","14.5%","0.9%",".223","1.52",".253","67.3%","125","120","143","4.81","4.76","0.05","5.65","5.58","10732"
"Eric Lauer","MIL","9.19","2.87","3.20","1.84","24.3%","7.6%","16.7%",".235","1.23",".267","76.7%","95","117","98","4.02","4.76","-0.74","3.94","3.85","19316"
"Lucas Sims","CIN","6.75","8.10","0.83","0.00","16.1%","19.4%","-3.2%",".208","1.65",".263","41.7%","215","113","144","9.45","4.77","4.68","5.88","5.92","13470"
"Hyun-Jin Ryu","TOR","5.33","1.33","4.00","1.67","14.2%","3.5%","10.6%",".294","1.33",".307","65.5%","142","121","107","5.67","4.78","0.88","4.25","4.46","14444"
"Enoli Paredes","HOU","6.00","9.00","0.67","0.00","14.3%","21.4%","-7.1%",".273","2.00",".333","83.3%","80","121","147","3.00","4.78","-1.78","5.78","6.59","20447"
"Robert Suarez","SDP","11.19","5.01","2.23","1.54","30.9%","13.8%","17.0%",".152","1.07",".174","84.1%","77","120","96","3.09","4.79","-1.70","3.84","3.50","30115"
"Jaime Barria","LAA","6.93","1.91","3.63","1.67","19.2%","5.3%","13.9%",".227","1.06",".238","83.9%","81","118","104","3.11","4.79","-1.68","4.15","3.79","18356"
"Taylor Hearn","TEX","7.86","4.29","1.83","1.29","18.8%","10.3%","8.6%",".290","1.67",".338","69.2%","154","121","119","5.86","4.80","1.06","4.72","4.73","18325"
"Humberto Castellanos","ARI","6.50","2.44","2.67","1.42","16.5%","6.2%","10.3%",".281","1.40",".309","65.8%","133","121","116","5.68","4.81","0.88","4.71","4.61","21183"
"Trevor Williams","NYM","8.28","2.76","3.00","1.77","21.4%","7.1%","14.3%",".260","1.34",".292","76.9%","111","122","102","4.34","4.82","-0.49","4.12","3.95","16977"
"Oliver Ortega","LAA","8.27","4.41","1.88","1.38","21.3%","11.3%","9.9%",".258","1.47",".303","73.8%","100","119","98","3.86","4.83","-0.97","3.94","4.01","21025"
"Anthony DeSclafani","SFG","8.05","1.89","4.25","1.89","18.1%","4.3%","13.8%",".393","2.05",".456","55.2%","246","126","103","9.95","4.85","5.09","4.16","4.08","13050"
"Jose Ruiz","CHW","10.68","5.93","1.80","1.48","26.7%","14.8%","11.9%",".235","1.55",".297","80.0%","109","119","112","4.15","4.86","-0.71","4.44","4.10","14552"
"Blake Taylor","HOU","5.06","5.63","0.90","0.56","12.0%","13.3%","-1.3%",".234","1.56",".259","77.2%","105","124","140","3.94","4.87","-0.93","5.55","5.52","16418"
"Dylan Coleman","KCR","9.74","6.68","1.46","1.11","24.3%","16.7%","7.6%",".185","1.42",".225","72.5%","92","125","123","3.62","4.88","-1.26","4.89","4.68","22276"
"Joe Smith","MIN","5.16","3.18","1.63","1.19","13.3%","8.2%","5.1%",".281","1.46",".301","83.9%","72","123","106","2.78","4.88","-2.10","4.21","3.96","3281"
"Will Smith","ATL","9.29","4.65","2.00","1.45","23.4%","11.7%","11.7%",".202","1.29",".232","68.6%","75","122","113","3.19","4.89","-1.70","4.57","4.05","8048"
"Chris Archer","MIN","6.90","4.40","1.57","1.17","17.9%","11.5%","6.5%",".205","1.26",".224","79.9%","80","123","126","3.08","4.89","-1.81","5.00","5.04","6345"
"Austin Gomber","COL","6.66","2.71","2.45","1.60","17.3%","7.0%","10.2%",".290","1.45",".318","58.6%","138","115","106","6.53","4.90","1.64","4.28","4.46","16561"
"Devin Smeltzer","MIN","5.43","1.92","2.83","1.60","15.5%","5.5%","10.0%",".222","1.03",".221","86.7%","79","124","118","3.04","4.91","-1.87","4.69","4.70","19487"
"Collin Snider","KCR","5.14","4.71","1.09","0.86","12.8%","11.7%","1.1%",".317","1.76",".353","56.8%","197","126","127","7.71","4.93","2.79","5.04","5.10","23307"
"Jhoulys Chacin","COL","6.81","3.16","2.15","1.46","17.4%","8.1%","9.3%",".253","1.35",".277","45.9%","143","116","117","6.81","4.93","1.88","4.75","4.33","2608"
