"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"69",605194,"Cotton, Jharel","335","20.6","0.250","0.583","0.125","0.833","0.486","0.469","0.257","3","12","92.1","30.1","2325","85.8","84.44","11","32","37","-1.4","5.41","107","157","115","149","300","326","287"
"68",656986,"Sousa, Bennett","365","18.6","0.267","0.067","0.286","0.333","0.296","0.424","0.373","4","15","93.2","20.1","2111","89.5","89.61","10","35","33","0.1","6.29","101","149","108","146","295","323","307"
"68",607237,"Garrett, Amir","364","18.7","0.167","0.000","0.200","0.167","0.260","0.348","0.246","2","12","87.7","15.0","2010","88.3","88.27","7","27","41","0.0","6.28","101","153","113","146","300","319","295"
"67",676714,"Hughes, Brandon","347","19.3","0.167","0.167","0.250","0.333","0.244","0.288","0.259","2","12","98.3","15.3","2294","87.1","86.80","9","32","35","-0.3","6.15","109","144","105","145","292","315","285"
"66",681799,"Roberts, Ethan","177","37.3","0.333","0.333","0.500","0.667","0.504","0.445","0.349","3","9","88.8","17.7","2687","91.4","91.61","5","28","38","0.2","6.28","109","151","119","154","296","321","294"
"66",518553,"Cishek, Steve","558","11.8","0.375","0.000","0.375","0.375","0.372","0.425","0.377","6","16","82.1","15.2","2302","85.6","87.43","1","25","41","1.8","7.58","109","146","109","140","304","316","289"
"66",650671,"Quijada, José","179","36.9","0.333","0.200","0.417","0.533","0.390","0.305","0.252","5","15","89.4","-1.8","2148","93.7","94.16","11","38","28","0.5","6.56","114","152","118","153","297","321","294"
"65",677865,"Bruihl, Justin","260","25.0","0.000","0.000","0.000","0.000","0.220","0.361","0.168","0","10","66.2","4.0","2314","85.5","86.17","7","29","36","0.7","6.73","109","153","111","148","289","316","295"
"65",657612,"Hill, Tim","316","20.6","0.188","0.000","0.188","0.188","0.188","0.241","0.221","3","16","86.5","-0.9","2068","88.7","89.07","3","28","37","0.4","6.89","110","152","112","150","294","320","296"
"65",656529,"Hentges, Sam","412","15.8","0.400","0.267","0.455","0.667","0.485","0.412","0.315","6","15","94.1","-6.8","2234","92.9","93.49","8","32","33","0.6","6.66","108","149","115","147","297","320","294"
"65",489334,"Stammen, Craig","511","12.7","0.294","0.588","0.222","0.882","0.491","0.415","0.289","5","17","93.2","23.8","2251","87.2","87.89","6","35","30","0.7","6.73","113","158","116","149","296","312","293"
"65",605151,"Bradley, Archie","305","21.3","0.231","0.000","0.375","0.231","0.269","0.275","0.227","3","13","88.5","-0.6","1998","89.7","89.99","8","30","35","0.3","6.63","102","144","107","144","297","323","293"
"64",676684,"Vest, Will","461","13.9","0.333","0.267","0.444","0.600","0.417","0.264","0.192","5","15","92.6","1.0","2144","90.4","90.09","12","32","32","-0.3","6.19","114","156","110","148","304","330","299"
